소속,직위,성명,n
건국대학교,부교수,이향수,16
동아대학교,부교수,이동규,5
목원대학교,교수,신열,5
숭실대학교,교수,김기형,5
숭실대학교,교수,우윤석,5
전북대학교,부교수,김경아,5
한국교통대학교,부교수,정주용,5
강원대학교,교수,김영록,4
경희대학교,조교수,윤지웅,4
성결대학교,교수,라휘문,4
아주대학교,교수,김서용,4
전남대학교,교수,배정아,4
한국지방행정연구원,수석연구원,김지수,4
한국행정연구원,선임연구위원,윤수재,4
가톨릭대학교,교수,박석희,3
경기대학교,교수,이병량,3
경상대학교,교수,명성준,3
국민대학교,부교수,최진식,3
동양대학교,교수,정병걸,3
상명대학교,부교수,조태준,3
서울대학교,부교수,박상욱,3
서울시립대학교,교수,이인원,3
성균관대학교,조교수,정일환,3
순천향대학교,교수,임동진,3
숭실대학교,교수,정일환,3
영남대학교,교수,황성수,3
영남대학교,부교수,박상철,3
전북대학교,교수,주상현,3
창원대학교,조교수,이희재,3
한경대학교,교수,이원희,3
한국외국어대학교,강사,이아람,3
한국외국어대학교,교수,장현주,3
한국외국어대학교,부교수,견진만,3
호서대학교,조교수,이재완,3
가톨릭관동대학교,교수,정혜진,2
가톨릭대학교,부교수,정종원,2
강릉원주대학교,교수,김구,2
강릉원주대학교,부교수,권자경,2
강원대학교,교수,김대건,2
강원대학교,조교수,왕재선,2
경기도여성가족재단,연구위원,백선정,2
경동대학교,교수,사득환,2
경찰대학교,부교수,유승원,2
경희대학교,교수,최성주,2
경희대학교,부교수,김도한,2
계명대학교,조교수,박정호,2
고려대학교,교수,김태일,2
고려대학교,교수,윤견수,2
고려대학교,교수,정해일,2
고려사이버대학교,교수,오수길,2
광운대학교,교수,이혜영,2
광운대학교,교수,최영훈,2
국민대학교,부교수,하현상,2
국회입법조사처,입법조사관,류영아,2
꽃동네대학교,교수,서동희,2
단국대학교,교수,박용성,2
단국대학교,교수,방민석,2
단국대학교,조교수,성시경,2
대구대학교,조교수,서정욱,2
대진대학교,조교수,고대유,2
동국대학교,조교수,배광빈,2
동국대학교,조교수,오영민,2
동아대학교,교수,윤은기,2
동아대학교,부교수,류은영,2
명지대학교,교수,김태환,2
상명대학교,교수,김영미,2
상지대학교,교수,최무현,2
서울대학교,교수,고길곤,2
서울시립대학교,부교수,이정희,2
서울여자대학교,조교수,노승용,2
성균관대학교,교수,김근세,2
세종대학교,교수,이덕로,2
세종대학교,조교수,곽창규,2
수원대학교,교수,오영균,2
수원대학교,부교수,김정인,2
순천대학교,교수,조선일,2
숭실대학교,겸임교수,유재미,2
안동대학교,조교수,윤기웅,2
안양대학교,조교수,서인석,2
연세대학교,교수,문명재,2
원광대학교,부교수,박민정,2
인하대학교,교수,정창훈,2
전남대학교,교수,심미승,2
중앙대학교,교수,심준섭,2
지방공기업평가원,선임전문위원,노성민,2
충북대학교,조교수,최예나,2
한국교통대학교,부교수,정의룡,2
한국방송통신대학교,교수,조경훈,2
한국외국어대학교,강사,홍정화,2
한국외국어대학교,부교수,곽선주,2
한국행정연구원,연구위원,이민호,2
한남대학교,교수,신현중,2
가천대학교,부교수,김철우,1
가톨릭관동대학교,교수,이창균,1
가톨릭관동대학교,조교수,장봉진,1
가톨릭대학교,조교수,김성찬,1
가톨릭대학교,조교수,신현기,1
감사연구원,연구위원,유승현,1
강남대학교,교수,최유진,1
강릉원주대학교,조교수,이대웅,1
강원대학교,교수,임의영,1
강원대학교,교수,정정화,1
강원대학교,부교수,이광훈,1
건국대학교,교수,강황선,1
건국대학교,교수,김원식,1
건국대학교,교수,안형기,1
건국대학교,교수,이영범,1
경기개발연구원,선임연구위원,박충훈,1
경기대학교,교수,박윤환,1
경기대학교,교수,조임곤,1
경기대학교,조교수,이건,1
경기도의회,입법조사관,주희진,1
경기연구원,연구위원,유재미,1
경남대학교,조교수,강혜진,1
경북대학교,교수,남창우,1
경북대학교,부교수,김태운,1
경북대학교,조교수,박선주,1
경제인문사회연구회,연구기획본부장,조병덕,1
경희대학교,연구교수,우창빈,1
고려대학교,강사,문동진,1
고려대학교,교수,구교준,1
고려대학교,교수,권헌영,1
고려대학교,교수,김현준,1
고려대학교,교수,임준형,1
고려대학교,부교수,심동철,1
고려대학교,연구교수,김시정,1
고려디지털대학교,교수,오수길,1
공무원연금공단,연구위원,이정철,1
공주대학교,교수,황석준,1
과학기술정책연구원,선임연구위원,홍성민,1
과학기술정책연구원,연구위원,성지은,1
광운대학교,교수,정진경,1
광주전남연구원,인구정책지원센터장,민현정,1
국민대학교,교수,이석환,1
국민대학교,조교수,박현희,1
국민대학교,조교수,최진식,1
국민대학교,조교수,하현상,1
군산대학교,교수,유금록,1
군산대학교,교수,황성원,1
단국대학교,교수,김재일,1
단국대학교,교수,김학린,1
단국대학교,교수,남재걸,1
단국대학교,교수,윤상오,1
대구대학교,교수,박기묵,1
대구대학교,부교수,함요상,1
대원대학교,총장,고숙희,1
대전대학교,교수,곽현근,1
대전대학교,교수,백종섭,1
대전대학교,교수,이정호,1
대전대학교,조교수,이현국,1
대한의사협회,책임연구원,오수현,1
동아대학교,부교수,한세억,1
명지대학교,교수,기정훈,1
명지대학교,교수,이무성,1
명지대학교,교수,진종순,1
명지대학교,부교수,한승주,1
명지대학교,조교수,김영재,1
배재대학교,부교수,신영진,1
부경대학교,교수,김창수,1
부경대학교,교수,이남국,1
