row,col,code,name
4,10,가평,가평
5,12,강릉,강릉
1,10,강원고성,고성
23,2,강진,강진
21,10,거제,거제
16,7,거창,거창
20,8,경남고성,고성
13,12,경산,경산
13,13,경주,경주
13,5,계룡,계룡
14,8,고령,고령
3,5,고양,고양
17,2,고창,고창
23,4,고흥,고흥
19,4,곡성,곡성
11,5,공주,공주
8,8,과천,과천
4,4,광명,광명
21,6,광양,광양
8,9,광주,광주
20,3,광주광산,광산
22,3,광주남구,남구
21,4,광주동구,동구
20,4,광주북구,북구
21,3,광주서구,서구
12,8,괴산,괴산
19,5,구례,구례
5,10,구리,구리
11,10,구미,구미
15,3,군산,군산
12,10,군위,군위
9,6,군포,군포
14,4,금산,금산
16,4,김제,김제
12,9,김천,김천
4,3,김포,김포
20,9,김해,김해
21,2,나주,나주
4,9,남양주,남양주
18,6,남원,남원
20,7,남해,남해
13,4,논산,논산
11,8,단양,단양
19,3,담양,담양
10,3,당진,당진
15,10,대구남구,남구
16,9,대구달서,달서
16,10,대구달성,달성
14,12,대구동구,동구
14,10,대구북구,북구
15,9,대구서구,서구
15,11,대구수성,수성
14,11,대구중구,중구
13,6,대전대덕,대덕
14,6,대전동구,동구
15,5,대전서구,서구
14,5,대전유성,유성
15,6,대전중구,중구
3,8,동두천,동두천
6,12,동해,동해
21,1,목포,목포
20,2,무안,무안
16,6,무주,무주
9,10,문경,문경
17,9,밀양,밀양
12,3,보령,보령
22,4,보성,보성
13,8,보은,보은
10,12,봉화,봉화
19,9,부산강서,강서
16,11,부산금정,금정
17,13,부산기장,기장
20,12,부산남구,남구
18,11,부산동구,동구
17,12,부산동래,동래
17,11,부산부산진,부산진
17,10,부산북구,북구
18,10,부산사상,사상
20,10,부산사하,사하
19,10,부산서구,서구
19,12,부산수영,수영
18,12,부산연제,연제
20,11,부산영도,영도
19,11,부산중구,중구
18,13,부산해운대,해운대
16,3,부안,부안
13,3,부여,부여
5,3,부천,부천
19,7,사천,사천
19,6,산청,산청
9,12,삼척,삼척
10,9,상주,상주
26,5,서귀포,서귀포
11,2,서산,서산
8,7,서울강남,강남
7,9,서울강동,강동
3,6,서울강북,강북
5,5,서울강서,강서
7,6,서울관악,관악
6,9,서울광진,광진
8,5,서울구로,구로
8,6,서울금천,금천
2,7,서울노원,노원
2,6,서울도봉,도봉
5,8,서울동대문,동대문
6,6,서울동작,동작
5,6,서울마포,마포
4,6,서울서대문,서대문
7,7,서울서초,서초
6,8,서울성동,성동
3,7,서울성북,성북
7,8,서울송파,송파
6,5,서울양천,양천
7,5,서울영등포,영등포
6,7,서울용산,용산
4,5,서울은평,은평
4,7,서울종로,종로
5,7,서울중구,중구
5,9,서울중랑,중랑
14,3,서천,서천
9,8,성남,성남
13,9,성주,성주
12,5,세종,세종
2,10,속초,속초
10,7,수원,수원
18,4,순창,순창
21,5,순천,순천
6,4,시흥,시흥
20,1,신안,신안
10,4,아산,아산
11,11,안동,안동
7,4,안산,안산
9,5,안성,안성
5,4,안양,안양
1,9,양구,양구
18,9,양산,양산
3,11,양양,양양
3,9,양주,양주
7,10,양평,양평
22,5,여수,여수
8,10,여주,여주
2,8,연천,연천
18,2,영광,영광
11,13,영덕,영덕
15,7,영동,영동
22,2,영암,영암
11,12,영양,영양
9,11,영월,영월
10,11,영주,영주
13,11,영천,영천
11,4,예산,예산
10,10,예천,예천
9,4,오산,오산
14,7,옥천,옥천
24,3,완도,완도
16,5,완주,완주
10,8,용인,용인
7,14,울릉,울릉
16,13,울산남구,남구
15,13,울산동구,동구
14,13,울산북구,북구
16,12,울산울주,울주
15,12,울산중구,중구
10,13,울진,울진
8,11,원주,원주
11,6,음성,음성
17,8,의령,의령
12,11,의성,의성
9,7,의왕,의왕
4,8,의정부,의정부
9,9,이천,이천
15,4,익산,익산
3,10,인제,인제
4,2,인천강화,강화
6,3,인천계양,계양
8,3,인천남구,남구
9,3,인천남동,남동
6,2,인천동구,동구
7,3,인천부평,부평
5,2,인천서구,서구
9,2,인천연수,연수
9,1,인천옹진,옹진
8,2,인천중구,중구
18,5,임실,임실
18,3,장성,장성
17,6,장수,장수
23,3,장흥,장흥
17,4,전주,전주
7,12,정선,정선
17,3,정읍,정읍
25,5,제주,제주
11,9,제천,제천
12,7,증평,증평
23,1,진도,진도
17,5,진안,진안
18,7,진주,진주
12,6,진천,진천
16,8,창녕,창녕
19,8,창원,창원
10,5,천안,천안
1,7,철원,철원
14,9,청도,청도
12,12,청송,청송
12,4,청양,청양
13,7,청주,청주
4,11,춘천,춘천
11,7,충주,충주
13,10,칠곡,칠곡
8,12,태백,태백
10,2,태안,태안
21,9,통영,통영
3,4,파주,파주
7,11,평창,평창
10,6,평택,평택
2,9,포천,포천
12,13,포항,포항
6,10,하남,하남
20,6,하동,하동
18,8,함안,함안
17,7,함양,함양
19,2,함평,함평
15,8,합천,합천
22,1,해남,해남
11,3,홍성,홍성
5,11,홍천,홍천
8,4,화성,화성
20,5,화순,화순
1,8,화천,화천
6,11,횡성,횡성
