program,tm_start,tm_end
도전1000곡,2006-01-01T08:22:00Z,2006-01-01T09:37:28Z
도전1000곡,2006-01-08T08:29:26Z,2006-01-08T09:36:29Z
도전1000곡,2006-01-15T08:30:28Z,2006-01-15T09:37:17Z
도전1000곡,2006-01-22T08:29:07Z,2006-01-22T09:35:27Z
도전1000곡,2006-01-29T07:53:44Z,2006-01-29T09:32:18Z
도전1000곡,2006-02-05T08:30:19Z,2006-02-05T09:38:19Z
도전1000곡,2006-02-26T08:34:24Z,2006-02-26T09:41:55Z
도전1000곡,2006-03-05T08:30:39Z,2006-03-05T09:37:53Z
도전1000곡,2006-03-12T08:29:58Z,2006-03-12T09:37:29Z
도전1000곡,2006-03-19T08:26:27Z,2006-03-19T09:33:30Z
도전1000곡,2006-03-26T08:29:47Z,2006-03-26T09:37:12Z
도전1000곡,2006-04-02T08:31:52Z,2006-04-02T09:39:26Z
도전1000곡,2006-04-09T08:49:25Z,2006-04-09T09:57:12Z
도전1000곡,2006-04-16T08:30:37Z,2006-04-16T09:37:57Z
도전1000곡,2006-04-23T08:30:45Z,2006-04-23T09:38:11Z
도전1000곡,2006-04-30T08:30:29Z,2006-04-30T09:37:02Z
도전1000곡,2006-05-07T08:32:55Z,2006-05-07T09:40:37Z
도전1000곡,2006-05-14T08:31:42Z,2006-05-14T09:39:23Z
도전1000곡,2006-05-21T08:29:49Z,2006-05-21T09:36:33Z
도전1000곡,2006-05-28T08:30:06Z,2006-05-28T09:37:18Z
도전1000곡,2006-06-04T08:28:34Z,2006-06-04T09:35:27Z
도전1000곡,2006-06-11T08:31:37Z,2006-06-11T09:39:36Z
도전1000곡,2006-06-18T08:29:56Z,2006-06-18T09:36:59Z
도전1000곡,2006-06-25T08:30:03Z,2006-06-25T09:37:42Z
도전1000곡,2006-07-02T08:31:19Z,2006-07-02T09:37:23Z
도전1000곡,2006-07-09T08:29:47Z,2006-07-09T09:35:43Z
도전1000곡,2006-07-16T08:23:39Z,2006-07-16T09:30:11Z
도전1000곡,2006-07-23T08:31:06Z,2006-07-23T09:38:43Z
도전1000곡,2006-07-30T08:30:09Z,2006-07-30T09:37:14Z
도전1000곡,2006-08-06T08:33:03Z,2006-08-06T09:40:35Z
도전1000곡,2006-08-13T08:32:21Z,2006-08-13T09:38:30Z
도전1000곡,2006-08-20T08:33:17Z,2006-08-20T09:40:23Z
도전1000곡,2006-08-27T08:30:41Z,2006-08-27T09:38:55Z
도전1000곡,2006-09-03T08:31:24Z,2006-09-03T09:40:07Z
도전1000곡,2006-09-10T08:32:29Z,2006-09-10T09:39:12Z
도전1000곡,2006-09-17T08:33:18Z,2006-09-17T09:41:20Z
도전1000곡,2006-09-24T08:33:47Z,2006-09-24T09:41:01Z
도전1000곡,2006-10-01T08:31:54Z,2006-10-01T09:39:27Z
도전1000곡,2006-10-15T08:33:24Z,2006-10-15T09:42:23Z
도전1000곡,2006-10-22T08:32:24Z,2006-10-22T09:40:39Z
도전1000곡,2006-10-29T08:32:34Z,2006-10-29T09:40:18Z
도전1000곡,2006-11-05T08:29:48Z,2006-11-05T09:36:59Z
도전1000곡,2006-11-12T08:27:03Z,2006-11-12T09:35:13Z
도전1000곡,2006-11-19T08:31:12Z,2006-11-19T09:38:54Z
도전1000곡,2006-11-26T08:29:42Z,2006-11-26T09:37:39Z
도전1000곡,2006-12-03T08:31:28Z,2006-12-03T09:38:24Z
도전1000곡,2006-12-10T08:30:34Z,2006-12-10T09:38:06Z
도전1000곡,2006-12-17T08:37:17Z,2006-12-17T09:45:14Z
도전1000곡,2006-12-24T08:28:35Z,2006-12-24T09:37:17Z
도전1000곡,2006-12-31T08:33:06Z,2006-12-31T09:41:38Z
도전1000곡,2007-01-07T08:32:59Z,2007-01-07T09:40:09Z
도전1000곡,2007-01-14T08:30:31Z,2007-01-14T09:37:07Z
도전1000곡,2007-01-21T08:31:31Z,2007-01-21T09:38:27Z
도전1000곡,2007-01-28T08:30:26Z,2007-01-28T09:38:07Z
도전1000곡,2007-02-04T08:32:26Z,2007-02-04T09:39:28Z
도전1000곡,2007-02-11T08:30:03Z,2007-02-11T09:36:53Z
도전1000곡,2007-02-25T08:29:49Z,2007-02-25T09:37:58Z
도전1000곡,2007-03-04T08:32:32Z,2007-03-04T09:38:43Z
도전1000곡,2007-03-11T08:29:51Z,2007-03-11T09:37:49Z
도전1000곡,2007-03-18T08:30:18Z,2007-03-18T09:37:09Z
도전1000곡,2007-03-25T08:29:48Z,2007-03-25T09:38:04Z
도전1000곡,2007-04-01T08:29:06Z,2007-04-01T09:40:09Z
도전1000곡,2007-04-08T08:30:14Z,2007-04-08T09:36:43Z
도전1000곡,2007-04-15T08:32:43Z,2007-04-15T09:39:46Z
도전1000곡,2007-04-22T08:29:19Z,2007-04-22T09:37:32Z
도전1000곡,2007-04-29T08:30:27Z,2007-04-29T09:37:45Z
도전1000곡,2007-05-06T08:30:34Z,2007-05-06T09:37:58Z
도전1000곡,2007-05-13T08:31:14Z,2007-05-13T09:38:26Z
도전1000곡,2007-05-20T08:30:04Z,2007-05-20T09:36:52Z
도전1000곡,2007-05-27T08:28:47Z,2007-05-27T09:36:07Z
도전1000곡,2007-06-03T08:30:12Z,2007-06-03T09:37:08Z
도전1000곡,2007-06-10T08:47:45Z,2007-06-10T09:54:28Z
도전1000곡,2007-06-17T08:19:01Z,2007-06-17T09:25:12Z
도전1000곡,2007-06-24T08:19:33Z,2007-06-24T09:25:23Z
도전1000곡,2007-07-01T08:26:54Z,2007-07-01T09:34:36Z
도전1000곡,2007-07-08T08:13:56Z,2007-07-08T09:30:06Z
도전1000곡,2007-07-15T08:18:58Z,2007-07-15T09:31:04Z
도전1000곡,2007-07-22T08:27:36Z,2007-07-22T09:35:34Z
도전1000곡,2007-07-29T08:25:05Z,2007-07-29T09:35:20Z
도전1000곡,2007-08-05T08:26:25Z,2007-08-05T09:36:35Z
