SWL1,SWL2,SWL3,SWL4,SWL5,SCA1,SCA2,SCA3,SCA4,SCA5,SCA6,SCB7,SCB8,SCB9,SCB10,SCB11,gender,ageyear,educ,income
2,2,2,2,1,3,4,2,3,2,2,3,4,3,4,4,2,28,4,3
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,38,2,2
4,4,5,5,3,2,2,4,2,2,1,2,3,2,3,4,2,52,6,7
3,3,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2,37,4,5
3,3,3,2,1,2,2,3,3,3,3,4,4,4,4,3,1,55,1,2
3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,26,4,2
3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,33,2,2
2,3,3,4,2,2,3,4,3,3,2,2,2,2,3,3,1,51,6,9
2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,3,1,58,4,1
2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,24,4,3
3,3,4,4,4,3,4,3,3,3,3,3,2,2,2,3,2,29,4,4
3,4,4,4,2,4,4,3,4,4,3,4,4,4,4,2,1,44,4,5
2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,2,24,4,5
3,4,3,4,2,4,4,4,4,4,3,5,5,3,3,3,2,28,4,5
3,4,4,4,3,4,4,3,3,4,4,4,3,3,3,2,2,50,6,9
4,5,4,5,3,2,4,4,3,4,4,4,5,3,5,4,1,24,3,9
3,3,3,2,2,4,3,3,4,3,3,3,4,3,3,3,1,50,4,9
2,3,3,2,2,4,4,4,4,3,4,4,4,4,4,4,1,45,4,6
3,4,5,4,2,1,1,1,1,1,1,3,3,2,4,4,2,30,4,3
2,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,1,50,4,6
3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,1,51,6,9
3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,47,4,10
4,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,1,35,4,4
3,3,2,2,3,2,3,2,2,3,3,3,2,3,3,3,1,55,4,4
3,3,2,2,1,2,2,2,2,3,3,3,3,3,3,3,1,50,2,3
3,4,3,3,3,3,4,4,3,2,4,3,3,4,3,3,1,37,4,8
3,3,3,2,2,3,2,2,2,2,2,2,3,3,2,3,2,45,2,5
3,3,3,4,2,2,3,3,2,2,2,3,3,2,4,3,1,18,2,5
2,4,4,3,2,2,2,2,3,2,2,2,2,2,3,3,2,24,4,3
3,2,2,2,2,3,4,3,2,2,2,3,3,3,3,3,1,28,4,2
3,3,3,4,2,3,4,3,3,3,3,3,4,3,3,3,1,28,4,6
2,1,1,2,1,4,3,4,3,2,3,3,4,3,2,3,1,52,4,7
2,2,2,2,1,3,2,3,2,2,2,3,2,2,2,3,1,39,4,4
1,2,3,2,1,2,3,3,1,1,2,3,3,3,3,3,1,42,4,2
4,3,4,3,4,4,4,4,4,4,4,5,5,5,5,1,2,51,2,4
1,1,2,1,4,2,2,2,3,2,2,2,2,2,2,2,1,38,2,3
